Executando Fernandes MODIFICADO
Rodando pra 1h
Optimize a model with 10072 rows, 14922 columns and 366057 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+07]
  Objective range [2e-01, 8e-01]
  Bounds range    [1e+00, 1e+07]
  RHS range       [1e+00, 1e+02]
Found heuristic solution: objective 5059
Presolve removed 49 rows and 14 columns
Presolve time: 0.29s
Presolved: 10023 rows, 14908 columns, 128605 nonzeros
Variable types: 9900 continuous, 5008 integer (5006 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   16723    3.9390140e+01   7.137826e+02   0.000000e+00      5s
   32188    4.0514747e+01   0.000000e+00   0.000000e+00      9s

Root relaxation: objective 4.051475e+01, 32188 iterations, 8.85 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0   40.51475    0  109 5059.00000   40.51475  99.2%     -    9s
     0     0  515.03453    0  119 5059.00000  515.03453  89.8%     -   17s
     0     0 1860.13280    0  139 5059.00000 1860.13280  63.2%     -   22s
     0     0 1896.86306    0  146 5059.00000 1896.86306  62.5%     -   27s
     0     0 1899.50055    0  139 5059.00000 1899.50055  62.5%     -   32s
     0     0 1899.80357    0  130 5059.00000 1899.80357  62.4%     -   38s
H    0     0                    4842.2000000 1899.80357  60.8%     -   50s
H    0     0                    4796.2000000 1899.80357  60.4%     -   52s
     0     0 1901.10113    0  137 4796.20000 1901.10113  60.4%     -   56s
     0     0 1901.63617    0  134 4796.20000 1901.63617  60.4%     -   61s
     0     0 1902.48196    0  138 4796.20000 1902.48196  60.3%     -   67s
     0     0 1902.48266    0  134 4796.20000 1902.48266  60.3%     -   68s
     0     0 1903.20000    0  130 4796.20000 1903.20000  60.3%     -  106s
     0     0 1903.20000    0  129 4796.20000 1903.20000  60.3%     -  117s
H    0     0                    4726.4000000 1903.20000  59.7%     -  126s
     0     2 1903.20000    0  126 4726.40000 1903.20000  59.7%     -  140s
     2     4 1903.20000    2  175 4726.40000 1903.20000  59.7% 14328  146s
     6     8 1903.20000    5  140 4726.40000 1903.20000  59.7%  6145  152s
     7     8 1903.23079    6  126 4726.40000 1903.20000  59.7%  6309  155s
    12    12 1904.00000   10  146 4726.40000 1903.20000  59.7%  4345  160s
    13    12 1904.22801   11  125 4726.40000 1903.20000  59.7%  4872  165s
    17    15 1904.80000   14  167 4726.40000 1903.20000  59.7%  4354  171s
    22    19 1905.60000   19  149 4726.40000 1903.20000  59.7%  3897  176s
    25    21 1906.07042   22  123 4726.40000 1903.20000  59.7%  4015  181s
    27    22 1906.47090   24  124 4726.40000 1903.20000  59.7%  4516  193s
    28    23 1906.40000   24  156 4726.40000 1903.20000  59.7%  4506  195s
    30    24 1906.54732   25  125 4726.40000 1903.20000  59.7%  4854  203s
    32    25 1906.60003   26  121 4726.40000 1903.20000  59.7%  5142  211s
    35    27 1906.56371   29  125 4726.40000 1903.20000  59.7%  5165  217s
    38    29 1906.65885   30  126 4726.40000 1903.20000  59.7%  5293  226s
    39    29 1906.72312   31  126 4726.40000 1903.20000  59.7%  5475  230s
    41    30 1906.88361   32  126 4726.40000 1903.20000  59.7%  5498  235s
    44    33 1907.20000   34  150 4726.40000 1903.20000  59.7%  5421  242s
    46    34 1907.45556   36  128 4726.40000 1903.20000  59.7%  5489  248s
    48    35 1907.23253   37  127 4726.40000 1903.20000  59.7%  5436  253s
    50    37 1908.00000   39  171 4726.40000 1903.20000  59.7%  5329  257s
    54    40 1908.14809   43  122 4726.40000 1903.20000  59.7%  5202  265s
    56    41 1908.15726   44  131 4726.40000 1903.20000  59.7%  5337  273s
    58    43 1908.00000   45  138 4726.40000 1903.20000  59.7%  5207  275s
    60    44 1908.00000   46  141 4726.40000 1903.20000  59.7%  5274  280s
    61    44 1908.31940   47  126 4726.40000 1903.20000  59.7%  5361  285s
    63    45 1908.06787   48  125 4726.40000 1903.20000  59.7%  5424  291s
    64    45 1908.37797   48  126 4726.40000 1903.20000  59.7%  5533  296s
    67    47 1908.85094   50  125 4726.40000 1903.20000  59.7%  5654  308s
    70    49 1909.04250   52  126 4726.40000 1903.20000  59.7%  5640  315s
    73    51 1908.92415   54  132 4726.40000 1903.20000  59.7%  5650  322s
    75    52 1908.89212   55  130 4726.40000 1903.20000  59.7%  5697  328s
    78    55 1908.80000   58  135 4726.40000 1903.20000  59.7%  5523  330s
    79    55 1908.84770   59  131 4726.40000 1903.20000  59.7%  5633  337s
    80    55 1909.12794   59  129 4726.40000 1903.20000  59.7%  5718  342s
    82    57 1909.60000   61  165 4726.40000 1903.20000  59.7%  5649  346s
    84    58 1909.76821   62  128 4726.40000 1903.20000  59.7%  5699  353s
    86    60 1909.60000   63  135 4726.40000 1903.20000  59.7%  5611  355s
    90    63 1909.71124   66  125 4726.40000 1903.20000  59.7%  5577  364s
    91    64 1909.60000   66  155 4726.40000 1903.20000  59.7%  5537  365s
    94    66 1909.70069   68  128 4726.40000 1903.20000  59.7%  5577  373s
    95    66 1909.70826   69  128 4726.40000 1903.20000  59.7%  5682  380s
