Executando Fernandes MODIFICADO
Rodando pra 1h
Optimize a model with 10072 rows, 14922 columns and 366073 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+07]
  Objective range [3e-01, 7e-01]
  Bounds range    [1e+00, 1e+07]
  RHS range       [1e+00, 1e+02]
Found heuristic solution: objective 5074
Presolve removed 49 rows and 14 columns
Presolve time: 0.29s
Presolved: 10023 rows, 14908 columns, 128609 nonzeros
Variable types: 9900 continuous, 5008 integer (5006 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   16903    3.2737243e+01   8.645681e+02   0.000000e+00      5s
   28816    3.6412468e+01   0.000000e+00   0.000000e+00      8s

Root relaxation: objective 3.641247e+01, 28816 iterations, 7.79 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0   36.41247    0  112 5074.00000   36.41247  99.3%     -    8s
H    0     0                    5005.2000000   36.41247  99.3%     -   12s
     0     0  377.75695    0  121 5005.20000  377.75695  92.5%     -   16s
H    0     0                    4919.9000000  377.75695  92.3%     -   16s
     0     0 1387.67039    0  136 4919.90000 1387.67039  71.8%     -   22s
     0     0 1428.43717    0  145 4919.90000 1428.43717  71.0%     -   25s
H    0     0                    4540.6000000 1428.43717  68.5%     -   25s
     0     0 1452.63143    0  131 4540.60000 1452.63143  68.0%     -   30s
     0     0 1453.21994    0  132 4540.60000 1453.21994  68.0%     -   33s
H    0     0                    4335.5000000 1453.21994  66.5%     -   34s
     0     0 1455.02928    0  140 4335.50000 1455.02928  66.4%     -   38s
     0     0 1455.30524    0  134 4335.50000 1455.30524  66.4%     -   42s
H    0     0                    4264.1000000 1455.30524  65.9%     -   77s
     0     0 1463.20056    0  141 4264.10000 1463.20056  65.7%     -   85s
     0     0 1464.68692    0  134 4264.10000 1464.68692  65.7%     -   92s
H    0     0                    4197.3000000 1464.68692  65.1%     -   94s
     0     0 1466.28720    0  136 4197.30000 1466.28720  65.1%     -   98s
     0     0 1467.39283    0  135 4197.30000 1467.39283  65.0%     -  102s
H    0     0                    4134.7000000 1467.39283  64.5%     -  103s
     0     0 1471.28018    0  132 4134.70000 1471.28018  64.4%     -  108s
     0     0 1471.57792    0  130 4134.70000 1471.57792  64.4%     -  112s
     0     0 1473.75746    0  127 4134.70000 1473.75746  64.4%     -  117s
     0     0 1474.07424    0  124 4134.70000 1474.07424  64.3%     -  120s
     0     0 1478.00575    0  131 4134.70000 1478.00575  64.3%     -  125s
     0     0 1479.37510    0  131 4134.70000 1479.37510  64.2%     -  131s
     0     0 1479.80000    0  124 4134.70000 1479.80000  64.2%     -  177s
     0     0 1479.80000    0  123 4134.70000 1479.80000  64.2%     -  182s
     0     2 1479.80000    0  123 4134.70000 1479.80000  64.2%     -  200s
     1     3 1479.80000    1  173 4134.70000 1479.80000  64.2% 25202  205s
     3     5 1479.80000    3  171 4134.70000 1479.80000  64.2%  8998  210s
     9    11 1479.80000    8  174 4134.70000 1479.80000  64.2%  3209  216s
    17    19 1479.80000   16  170 4134.70000 1479.80000  64.2%  1762  220s
    24    26 1479.80000   21  170 4134.70000 1479.80000  64.2%  1339  225s
    28    30 1479.80000   23  174 4134.70000 1479.80000  64.2%  1213  230s
    38    40 1479.80000   31  170 4134.70000 1479.80000  64.2%   976  235s
    51    53 1479.80000   43  169 4134.70000 1479.80000  64.2%   777  240s
    58    60 1479.80000   47  156 4134.70000 1479.80000  64.2%   726  245s
    70    72 1479.80000   57  175 4134.70000 1479.80000  64.2%   642  250s
    81    83 1479.80000   65  150 4134.70000 1479.80000  64.2%   592  255s
    95    97 1479.80000   76  156 4134.70000 1479.80000  64.2%   544  260s
   112   114 1479.80000   87  149 4134.70000 1479.80000  64.2%   512  265s
   124   126 1479.80000   95  124 4134.70000 1479.80000  64.2%   514  270s
   127   129 1479.80000   97  119 4134.70000 1479.80000  64.2%   572  275s
   132   134 1479.80000  100  126 4134.70000 1479.80000  64.2%   610  280s
   135   136 1480.02709  102  102 4134.70000 1479.80000  64.2%   686  287s
   137   137 1480.65482  104  100 4134.70000 1479.80000  64.2%   796  296s
   138   137 1482.05642  104   94 4134.70000 1479.80000  64.2%   907  302s
   140   138 1481.28909  106   98 4134.70000 1479.80000  64.2%  1005  310s
   143   140 1484.41721  108  100 4134.70000 1479.80000  64.2%  1134  319s
   144   141 1481.90000  109  102 4134.70000 1479.80000  64.2%  1152  321s
   146   142 1481.90000  110  101 4134.70000 1479.80000  64.2%  1228  326s
   148   142 1483.58992  111   97 4134.70000 1479.80000  64.2%  1288  330s
   151   144 1483.68188  113   99 4134.70000 1479.80000  64.2%  1392  339s
   152   145 1482.60000  114  105 4134.70000 1479.80000  64.2%  1407  341s
   155   147 1483.30000  117  104 4134.70000 1479.80000  64.2%  1461  348s
   156   148 1483.30035  118  101 4134.70000 1479.80000  64.2%  1492  351s
   159   148 1484.15372  119   97 4134.70000 1479.80000  64.2%  1547  355s
   162   151 1484.70000  122  101 4134.70000 1479.80000  64.2%  1563  360s
